"priority","key","english","portuguese","do_not_translate","notes"
"3","operate.roster.col.state","State","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""State"" is used by 4 different keys (e.g. settings.station.opState.label, logbook.field.state.label, logEntry.state.placeholder) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.col.state.title","Sort by state or province (from the callsign, or the heard grid)","","",""
"3","operate.roster.col.grid","Grid","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Grid"" is used by 7 different keys (e.g. settings.station.grid.label, logbook.field.grid.label, logEntry.grid.placeholder) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.col.dist","Dist","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Dist"" is used by 2 different keys (e.g. aprs.table.dist) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.col.bearing","Brg","","","One-word control on: Operate cockpit (FT8 / FT4). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","operate.roster.col.age","Age","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Age"" is used by 3 different keys (e.g. spots.column.age, aprs.table.age) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.empty","No stations heard yet — decoded stations appear here as they arrive.","","",""
"3","operate.roster.row.aria","{{call}}{{grid}}{{need}}{{worked}}{{working}}","","{{call}} | {{grid}} | {{need}} | {{worked}} | {{working}}",""
"3","operate.roster.row.aria.grid",", grid {{grid}}","","{{grid}}",""
"3","operate.roster.row.aria.need",", needed {{need}}","","{{need}}",""
"3","operate.roster.row.aria.worked",", worked","","",""
"3","operate.roster.row.aria.working",", working now","","",""
"3","operate.roster.row.work.title","Double-click to work {{call}}","","{{call}}","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Double-click to work {{call}}"" is used by 2 different keys (e.g. roster.card.doubleClick) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.lotw.title","Uploads to LoTW — this contact should confirm","","LoTW",""
"3","operate.roster.calling.title","Working {{call}}","","{{call}}","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Working {{call}}"" is used by 2 different keys (e.g. tempo.header.fd.working) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.calling.cq.title","Calling CQ — not in a QSO","","QSO | CQ",""
"3","operate.roster.calling.cqDir.title","Calling CQ {{dir}} — a DIRECTED call. He is asking for {{dir}} only, so answering from anywhere else will usually be ignored.","","{{dir}} | CQ",""
"3","operate.roster.state.title","{{call}} is in {{state}}","","{{call}} | {{state}}",""
"3","operate.roster.age.now","now","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""now"" is used by 4 different keys (e.g. roster.card.heard.now, sat.passesPane.now, waterfall.paused.now) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.roster.age.slots","{{count}} sl","","{{count}}",""
"3","operate.roster.age.minutes","{{minutes}}m","","{{minutes}}","One-word control on: Operate cockpit (FT8 / FT4). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","operate.row.ignored.title","Ignored this session (Alt-double-click to restore)","","",""
"3","operate.b4.sameBand","Worked before on this band","","",""
"3","operate.b4.otherBand","Worked before (another band)","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Worked before (another band)"" is used by 2 different keys (e.g. roster.card.b4.otherBand) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.tx.aria","Standard messages (Tx1–Tx6)","","",""
"3","operate.tx.dxCall.label","DX Call","","DX",""
"3","operate.tx.dxCall.aria","DX callsign","","DX",""
"3","operate.tx.dxGrid.label","DX Grid","","DX",""
"3","operate.tx.dxGrid.aria","DX grid locator","","DX",""
"3","operate.tx.generate.label","Generate Std Msgs","","",""
"3","operate.tx.generate.title","Generate the six standard messages from DX Call / Grid / report (WSJT-X Generate Std Msgs)","","WSJT-X | DX",""
"3","operate.tx.clear.label","Clear","","","Short label on: Operate cockpit (FT8 / FT4). The same English text ""Clear"" is used by 11 different keys (e.g. logbook.search.clear, logEntry.clear.label, needed.filter.clear.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","operate.tx.clear.title","Clear DX Call + Grid (F4)","","DX | F4",""
"3","operate.tx.rows.aria","Tx message rows","","",""
"3","operate.tx.next.title","Queued as the next transmission","","",""
"3","operate.tx.tx5.placeholder","Free text","","",""
"3","operate.tx.tx5.aria","Tx5 free text","","",""
"3","operate.tx.tx6.placeholder","CQ call","","CQ",""
"3","operate.tx.tx6.aria","Tx6 Call CQ (edit for a directed CQ)","","CQ",""
"3","operate.tx.tx6.hint","Edit for a directed CQ — CQ DX / CQ NA / CQ POTA / CQ TEST","","POTA | CQ | DX",""
"3","operate.tx.callCq.title","Call CQ (Alt+6)","","CQ",""
"3","operate.tx.send.title","Send this as the next transmission (Alt+{{n}})","","{{n}}",""
"3","logbook.title","Logbook","","","Short label on: Logbook view. The same English text ""Logbook"" is used by 3 different keys (e.g. nav.logbook.label, features.logbook.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.subtitle","ADIF contacts","","ADIF",""
"3","logbook.import.adif.label","Import ADIF","","ADIF",""
"3","logbook.import.failed","ADIF import failed","","ADIF",""
"3","logbook.import.imported::one","Imported {{count}} QSO","","{{count}} | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.import.imported::other","Imported {{count}} QSOs","","{{count}} | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.import.dupes"," ({{count}} dupes skipped)","","{{count}}",""
"3","logbook.import.updated::one"," · {{count}} existing QSO updated with confirmations/credits","","{{count}} | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.import.updated::other"," · {{count}} existing QSOs updated with confirmations/credits","","{{count}} | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.sync.label","Sync confirmations","","",""
"3","logbook.sync.title","Reconcile a LoTW ADIF export into the log — upgrades confirmations + credit on existing QSOs","","ADIF | LoTW | QSOs",""
"3","logbook.sync.failed","LoTW sync failed","","LoTW","Short label on: Logbook view. The same English text ""LoTW sync failed"" is used by 2 different keys (e.g. settings.connections.lotw.sync.failed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.sync.done","Synced: {{confirmed}} newly confirmed, {{credited}} credited","","{{confirmed}} | {{credited}}",""
"3","logbook.sync.doneUnmatched","Synced: {{confirmed}} newly confirmed, {{credited}} credited · {{unmatched}} unmatched","","{{confirmed}} | {{credited}} | {{unmatched}}",""
"3","logbook.pota.label","Import POTA","","POTA",""
"3","logbook.pota.title","Import a pota.app hunter/activator ADIF export — stamps park references onto your matching logged QSOs. Never creates or overwrites records.","","ADIF | QSOs",""
"3","logbook.pota.failed","POTA import failed","","POTA",""
"3","logbook.pota.stamped::one","POTA: {{count}} QSO stamped with park refs","","{{count}} | POTA | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.pota.stamped::other","POTA: {{count}} QSOs stamped with park refs","","{{count}} | POTA | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.pota.already"," · {{count}} already stamped","","{{count}}",""
"3","logbook.pota.unmatched"," · {{count}} had no matching QSO (not added)","","{{count}} | QSO",""
"3","logbook.fetchLotw.label","Fetch LoTW","","LoTW",""
"3","logbook.fetchLotw.title","Fetch confirmations directly from LoTW (no file download — uses the LoTW credentials saved in Settings ▸ Confirmations)","","LoTW",""
"3","logbook.fetchLotw.failed","LoTW fetch failed","","LoTW",""
"3","logbook.fetchLotw.done","LoTW — {{confirmed}} newly confirmed, {{credited}} credited","","{{confirmed}} | {{credited}} | LoTW",""
"3","logbook.qrzSync.label","Sync QRZ","","QRZ",""
"3","logbook.qrzSync.title","Fetch your online QRZ Logbook and merge it here — QSOs logged elsewhere plus QRZ confirmation status (needs the QRZ Logbook API key in Settings ▸ Confirmations)","","QSOs | QRZ",""
"3","logbook.qrzSync.failed","QRZ sync failed","","QRZ","Short label on: Logbook view. The same English text ""QRZ sync failed"" is used by 2 different keys (e.g. settings.connections.qrz.sync.failed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.qrzSync.done::one","QRZ sync — {{count}} new QSO, {{confirmed}} newly confirmed","","{{count}} | {{confirmed}} | QRZ | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.qrzSync.done::other","QRZ sync — {{count}} new QSOs, {{confirmed}} newly confirmed","","{{count}} | {{confirmed}} | QSOs | QRZ","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.export.from.label","from","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.export.from.title","Export only QSOs on/after this UTC date (empty = from the beginning)","","QSOs | UTC",""
"3","logbook.export.to.label","to","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.export.to.title","Export only QSOs on/before this UTC date (empty = to the end)","","QSOs | UTC",""
"3","logbook.export.adif.label","Export ADIF","","ADIF","Short label on: Logbook view. The same English text ""Export ADIF"" is used by 2 different keys (e.g. fieldDay.export.adif.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.export.adif.title","Save the whole logbook as an ADIF file in your Downloads folder","","ADIF",""
"3","logbook.export.adif.titleRange","Save the selected date range as an ADIF file in your Downloads folder","","ADIF",""
"3","logbook.export.csv.label","Export CSV","","CSV","Short label on: Logbook view. The same English text ""Export CSV"" is used by 2 different keys (e.g. program.deliver.exportCsv.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.export.csv.title","Save the whole logbook as a CSV spreadsheet in your Downloads folder","","CSV",""
"3","logbook.export.csv.titleRange","Save the selected date range as a CSV spreadsheet in your Downloads folder","","CSV",""
"3","logbook.export.failed","Export failed","","",""
"3","logbook.export.done::one","Exported {{count}} QSO → {{path}}","","{{count}} | {{path}} | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.export.done::other","Exported {{count}} QSOs → {{path}}","","{{count}} | {{path}} | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.export.perOperator.label","Export per operator","","",""
"3","logbook.export.perOperator.title","One ADIF per operator ({{operators}}) plus the combined log","","{{operators}} | ADIF",""
"3","logbook.export.perOperator.done","Exported {{count}} files → Downloads","","{{count}}",""
"3","logbook.lotw.upload.label","Upload to LoTW","","LoTW","Short label on: Logbook view. The same English text ""Upload to LoTW"" is used by 2 different keys (e.g. awards.conf.uploadToLotw) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.lotw.upload.labelCount","Upload to LoTW ({{count}})","","{{count}} | LoTW",""
"3","logbook.lotw.upload.busy","Uploading…","","","Short label on: Logbook view. The same English text ""Uploading…"" is used by 2 different keys (e.g. awards.conf.uploading) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.lotw.upload.title","Sign + upload your un-uploaded QSOs to LoTW via TQSL (set your Station Location in Settings)","","LoTW | QSOs | TQSL",""
"3","logbook.lotw.upload.timeless::one"," — {{count}} imported QSO has no time of day and can never match at LoTW, so they are not sent","","{{count}} | LoTW | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.timeless::other"," — {{count}} imported QSOs have no time of day and can never match at LoTW, so they are not sent","","{{count}} | LoTW | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.nothingNew","Nothing new to upload to LoTW","","LoTW",""
"3","logbook.lotw.upload.pending::one","Signed + uploaded {{count}} QSO to LoTW — they'll confirm as partners upload","","{{count}} | LoTW | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.pending::other","Signed + uploaded {{count}} QSOs to LoTW — they'll confirm as partners upload","","{{count}} | LoTW | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.duplicate::one","{{count}} QSO were already on LoTW","","{{count}} | LoTW | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.duplicate::other","{{count}} QSOs were already on LoTW","","{{count}} | LoTW | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.lotw.upload.retry","LoTW unreachable — try again shortly","","LoTW",""
"3","logbook.lotw.upload.authFailed","LoTW rejected your certificate/Station Location","","LoTW",""
"3","logbook.lotw.upload.authFailedDetail","LoTW rejected your certificate/Station Location: {{detail}}","","{{detail}} | LoTW",""
"3","logbook.lotw.upload.failed","LoTW upload failed","","LoTW",""
"3","logbook.lotw.upload.failedDetail","LoTW upload failed: {{detail}}","","{{detail}} | LoTW",""
"3","logbook.markLotw.label","Mark on LoTW","","LoTW",""
"3","logbook.markLotw.title","Already have these on LoTW (uploaded via another tool)? Mark them so Nexus stops counting them as needing upload.","","Nexus | LoTW",""
"3","logbook.markLotw.aria","Mark as already on LoTW","","LoTW",""
"3","logbook.markLotw.heading::one","Mark {{formatted}} QSO as already on LoTW?","","{{formatted}} | LoTW | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.markLotw.heading::other","Mark {{formatted}} QSOs as already on LoTW?","","{{formatted}} | LoTW | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.markLotw.body::one","Use this if you imported a log you'd already uploaded to LoTW another way (Ham2K Polo, TQSL…). It marks the {{formatted}} un-uploaded QSO as already on LoTW, so the <b>Upload to LoTW</b> count stops offering to re-send them. It only updates Nexus's own record — nothing is sent, and your LoTW account and log are untouched. New QSOs you make later still upload normally.","","{{formatted}} | <b> | Nexus | LoTW | QSOs | TQSL | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence. Quotes another control by name: ""Upload to LoTW"" is the on-screen text of logbook.lotw.upload.label / awards.conf.uploadToLotw. Translate the quote and that control exactly the same way, or the hint points at a menu entry that no longer exists."
"3","logbook.markLotw.body::other","Use this if you imported a log you'd already uploaded to LoTW another way (Ham2K Polo, TQSL…). It marks the {{formatted}} un-uploaded QSOs as already on LoTW, so the <b>Upload to LoTW</b> count stops offering to re-send them. It only updates Nexus's own record — nothing is sent, and your LoTW account and log are untouched. New QSOs you make later still upload normally.","","{{formatted}} | <b> | Nexus | LoTW | QSOs | TQSL","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence. Quotes another control by name: ""Upload to LoTW"" is the on-screen text of logbook.lotw.upload.label / awards.conf.uploadToLotw. Translate the quote and that control exactly the same way, or the hint points at a menu entry that no longer exists."
"3","logbook.markLotw.cancel","Cancel","","","Short label on: Logbook view. The same English text ""Cancel"" is used by 4 different keys (e.g. logbook.purge.cancel, spots.post.cancel, sat.armConfirm.cancel) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.markLotw.confirm","Mark {{formatted}} as on LoTW","","{{formatted}} | LoTW",""
"3","logbook.markLotw.failed","Could not update LoTW state","","LoTW",""
"3","logbook.markLotw.done::one","Marked {{formatted}} QSO as already on LoTW","","{{formatted}} | LoTW | QSO","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.markLotw.done::other","Marked {{formatted}} QSOs as already on LoTW","","{{formatted}} | LoTW | QSOs","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.markLotw.nothing","Nothing to mark","","",""
"3","logbook.purge.label","Purge log","","",""
"3","logbook.purge.title","Delete every contact in the local logbook (irreversible)","","",""
"3","logbook.purge.aria","Purge logbook","","",""
"3","logbook.purge.heading","Purge the entire logbook?","","",""
"3","logbook.purge.irreversible","Irreversible","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.purge.warn::one","This permanently deletes <b>all {{count}} contact</b> from your local logbook and rewrites the ADIF file to empty. It does <b>not</b> remove anything you've already uploaded to LoTW, QRZ, eQSL, or ClubLog. There is no undo — export an ADIF backup first if you might want it.","","{{count}} | <b> | ClubLog | ADIF | LoTW | eQSL | QRZ","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.purge.warn::other","This permanently deletes <b>all {{count}} contacts</b> from your local logbook and rewrites the ADIF file to empty. It does <b>not</b> remove anything you've already uploaded to LoTW, QRZ, eQSL, or ClubLog. There is no undo — export an ADIF backup first if you might want it.","","{{count}} | <b> | ClubLog | ADIF | LoTW | eQSL | QRZ","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.purge.syncWarn","It also resets your <b>LoTW and eQSL sync position</b>, so the next sync re-downloads your whole confirmation history instead of only recent matches. That is what brings your confirmations back after a purge — but it takes considerably longer than a routine sync, so give it time to finish.","","<b> | LoTW | eQSL",""
"3","logbook.purge.typeWord","Type <b>{{word}}</b> to confirm","","{{word}} | <b>",""
"3","logbook.purge.cancel","Cancel","","","Short label on: Logbook view. The same English text ""Cancel"" is used by 4 different keys (e.g. logbook.markLotw.cancel, spots.post.cancel, sat.armConfirm.cancel) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.purge.busy","Purging…","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.purge.confirm::one","Purge {{count}} contact","","{{count}}","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.purge.confirm::other","Purge {{count}} contacts","","{{count}}","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.purge.failed","Could not purge the log","","",""
"3","logbook.purge.done::one","Purged {{count}} contact from the log","","{{count}}","Plural form ""one"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.purge.done::other","Purged {{count}} contacts from the log","","{{count}}","Plural form ""other"" — this key has one row per form (::one = exactly 1, ::other = every other count). Fill both rows separately; never merge them into one sentence."
"3","logbook.form.open","Log QSO","","QSO","Short label on: Logbook view. The same English text ""Log QSO"" is used by 3 different keys (e.g. logPrompt.aria, logPrompt.log) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.form.close","Close","","","Short label on: Logbook view. The same English text ""Close"" is used by 3 different keys (e.g. memories.packs.close.aria, aprs.card.close) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.call.label","Call","","","Short label on: Logbook view. The same English text ""Call"" is used by 10 different keys (e.g. logbook.column.call, logEntry.call.placeholder, logEntry.fd.call.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.qrz.title","Look up name + grid on QRZ.com","","QRZ.com | QRZ",""
"3","logbook.field.grid.label","Grid","","","Short label on: Logbook view. The same English text ""Grid"" is used by 7 different keys (e.g. settings.station.grid.label, logEntry.grid.placeholder, logPrompt.grid.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.band.label","Band","","","Short label on: Logbook view. The same English text ""Band"" is used by 13 different keys (e.g. logbook.column.band, logEntry.override.band.label, needed.column.band) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.freq.label","Freq (MHz)","","MHz","Short label on: Logbook view. The same English text ""Freq (MHz)"" is used by 2 different keys (e.g. logEntry.override.freq.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.mode.label","Mode","","","Short label on: Logbook view. The same English text ""Mode"" is used by 15 different keys (e.g. logbook.column.mode, logEntry.override.mode.label, needed.column.mode) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.rstSent.label","RST Sent","","RST",""
"3","logbook.field.rstRcvd.label","RST Rcvd","","RST",""
"3","logbook.field.when.label","Date + time (UTC)","","UTC",""
"3","logbook.field.when.title","When the contact actually happened, in UTC. Leave blank to stamp now.","","UTC",""
"3","logbook.field.state.label","State","","","Short label on: Logbook view. The same English text ""State"" is used by 4 different keys (e.g. settings.station.opState.label, logEntry.state.placeholder, operate.roster.col.state) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.state.title","US state — drives Worked All States. A hand-logged contact has no decode to derive it from.","","",""
"3","logbook.field.txPower.label","TX power (W)","","TX",""
"3","logbook.field.parkTheirs.label","Park (worked)","","",""
"3","logbook.field.parkTheirs.title","POTA reference of the park the station you worked was activating (ADIF SIG_INFO). Defaults to POTA.","","ADIF | POTA",""
"3","logbook.field.parkMine.label","Park (mine)","","",""
"3","logbook.field.parkMine.title","POTA reference of YOUR own activation for this contact (ADIF MY_SIG_INFO). Defaults to POTA.","","ADIF | POTA",""
"3","logbook.field.name.label","Name","","","Short label on: Logbook view. The same English text ""Name"" is used by 4 different keys (e.g. logEntry.name.placeholder, memories.grid.column.name, memories.editor.name.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.name.placeholder","Jim","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.field.qth.label","QTH","","QTH","Abbreviation shown on: Logbook view. Check the screen before expanding or translating it."
"3","logbook.field.qth.placeholder","Dayton, OH","","",""
"3","logbook.column.notes","Notes","","","Short label on: Logbook view. The same English text ""Notes"" is used by 3 different keys (e.g. logbook.field.notes.label, memories.editor.notes.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.row.notes.title","Comment (shared on the QSL)","","QSL",""
"3","logbook.row.notes.private","Private note","","",""
"3","logbook.row.notes.aria","has a private note","","",""
"3","logbook.field.comment.label","Comment","","","Short label on: Logbook view. The same English text ""Comment"" is used by 5 different keys (e.g. spots.column.comment, spots.post.comment.label, aprs.beacon.comment.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.comment.placeholder","Shared on the QSL","","QSL",""
"3","logbook.field.notes.label","Notes","","","Short label on: Logbook view. The same English text ""Notes"" is used by 3 different keys (e.g. logbook.column.notes, memories.editor.notes.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.field.notes.placeholder","Rig / antenna / weather / what you talked about…","","",""
"3","logbook.form.callRequired","Callsign is required.","","","Short label on: Logbook view. The same English text ""Callsign is required."" is used by 2 different keys (e.g. settings.cat.callsignRequired) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.form.editingNote","Editing — confirmations and upload state are kept, unless you change the callsign: a corrected call re-sends to every service and drops confirmations matched on the old one.","","",""
"3","logbook.form.save","Save","","","Short label on: Logbook view. The same English text ""Save"" is used by 3 different keys (e.g. settings.panel.save, settings.profiles.save.action) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.form.log","Log","","","Short label on: Logbook view. The same English text ""Log"" is used by 7 different keys (e.g. logEntry.log, operate.strip.log.label, rtty.pane.log.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.form.saveFailed","Could not save the edit","","",""
"3","logbook.form.updated","Updated {{call}}","","{{call}}",""
"3","logbook.form.logFailed","Could not log QSO","","QSO","Short label on: Logbook view. The same English text ""Could not log QSO"" is used by 2 different keys (e.g. shell.log.failed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.globe.loading","Loading globe…","","",""
"3","logbook.search.placeholder","Search call / grid / band / mode / date…","","",""
"3","logbook.search.clear","Clear","","","Short label on: Logbook view. The same English text ""Clear"" is used by 11 different keys (e.g. logEntry.clear.label, needed.filter.clear.label, spots.filter.clear.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.filter.needsConfirmation.label","needs confirmation","","",""
"3","logbook.filter.needsConfirmation.title","Show only contacts without an award-eligible (LoTW/paper) confirmation. Rows you've already sent a QSL request for stay here — a request is not a confirmation.","","LoTW | QSL",""
"3","logbook.column.call","Call","","","Short label on: Logbook view. The same English text ""Call"" is used by 10 different keys (e.g. logbook.field.call.label, logEntry.call.placeholder, logEntry.fd.call.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.country","Country","","","Short label on: Logbook view. The same English text ""Country"" is used by 3 different keys (e.g. logEntry.country.placeholder, operate.roster.col.country) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.band","Band","","","Short label on: Logbook view. The same English text ""Band"" is used by 13 different keys (e.g. logbook.field.band.label, logEntry.override.band.label, needed.column.band) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.freq","Freq","","","Short label on: Logbook view. The same English text ""Freq"" is used by 4 different keys (e.g. needed.column.freq, spots.column.freq, operate.decodes.sort.freq) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.mode","Mode","","","Short label on: Logbook view. The same English text ""Mode"" is used by 15 different keys (e.g. logbook.field.mode.label, logEntry.override.mode.label, needed.column.mode) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.sent","Sent","","","Short label on: Logbook view. The same English text ""Sent"" is used by 4 different keys (e.g. logEntry.rstSent.label, tempo.bubble.sent, cw.pane.sent.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.rcvd","Rcvd","","","Short label on: Logbook view. The same English text ""Rcvd"" is used by 2 different keys (e.g. logEntry.rstRcvd.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.time","Time (UTC)","","UTC","Short label on: Logbook view. The same English text ""Time (UTC)"" is used by 2 different keys (e.g. logEntry.override.time.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"3","logbook.column.park","Park","","","One-word control on: Logbook view. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"3","logbook.column.actions","Edit / delete","","",""
"3","logbook.empty","No logged contacts yet.","","",""
"3","logbook.emptySearch","No contacts match “{{query}}”.","","{{query}}",""
"3","logbook.row.park.worked","{{program}} {{ref}} (worked)","","{{program}} | {{ref}}",""
"3","logbook.row.park.mine","My activation: {{program}} {{ref}}","","{{program}} | {{ref}}",""
"3","logbook.row.qsl.lotw","LoTW confirmed (award-eligible)","","LoTW",""
"3","logbook.row.qsl.card","Paper card received (award-eligible)","","",""
"3","logbook.row.qsl.eqsl","eQSL received (NOT DXCC/WAZ/WAS-eligible)","","DXCC | eQSL | WAS | WAZ | DXCC/WAZ",""
"3","logbook.row.qsl.confirmed","LoTW / paper — award-eligible","","LoTW",""
